regime,model,controls_included,feature,is_control,importance_mean,importance_std,cross_validated_r2,out_of_fold_spearman,trustworthy,molecules
out_of_scaffold,Linear,False,MolWt,False,0.007266,0.044765,0.206158,0.465991,True,413
out_of_scaffold,Linear,False,MolLogP,False,0.388756,0.221983,0.206158,0.465991,True,413
out_of_scaffold,Linear,False,TPSA,False,0.057543,0.058853,0.206158,0.465991,True,413
out_of_scaffold,Linear,False,NumRotatableBonds,False,0.010636,0.017775,0.206158,0.465991,True,413
out_of_scaffold,Linear,False,AromaticAtomFraction,False,0.267512,0.325386,0.206158,0.465991,True,413
out_of_scaffold,Linear,False,HeavyAtomCount,False,0.006306,0.008841,0.206158,0.465991,True,413
out_of_scaffold,Linear,False,NumRings,False,0.015133,0.030972,0.206158,0.465991,True,413
out_of_scaffold,Linear,False,NumAromaticRings,False,0.056311,0.039067,0.206158,0.465991,True,413
out_of_scaffold,Linear,False,NumAliphaticRings,False,0.008647,0.033834,0.206158,0.465991,True,413
out_of_scaffold,Linear,False,NumHeteroatoms,False,0.068212,0.065287,0.206158,0.465991,True,413
out_of_scaffold,Linear,False,FractionCSP3,False,0.253449,0.256573,0.206158,0.465991,True,413
out_of_scaffold,Linear,False,NumHDonors,False,0.011603,0.006428,0.206158,0.465991,True,413
out_of_scaffold,Linear,False,NumHAcceptors,False,0.007018,0.039546,0.206158,0.465991,True,413
out_of_scaffold,MLP,False,MolWt,False,0.182858,0.110465,0.125396,0.331974,True,413
out_of_scaffold,MLP,False,MolLogP,False,0.084653,0.072697,0.125396,0.331974,True,413
out_of_scaffold,MLP,False,TPSA,False,0.242935,0.179034,0.125396,0.331974,True,413
out_of_scaffold,MLP,False,NumRotatableBonds,False,0.021248,0.043907,0.125396,0.331974,True,413
out_of_scaffold,MLP,False,AromaticAtomFraction,False,0.177197,0.116049,0.125396,0.331974,True,413
out_of_scaffold,MLP,False,HeavyAtomCount,False,0.023314,0.043218,0.125396,0.331974,True,413
out_of_scaffold,MLP,False,NumRings,False,-0.002303,0.007246,0.125396,0.331974,True,413
out_of_scaffold,MLP,False,NumAromaticRings,False,0.064618,0.037926,0.125396,0.331974,True,413
out_of_scaffold,MLP,False,NumAliphaticRings,False,0.023419,0.045060,0.125396,0.331974,True,413
out_of_scaffold,MLP,False,NumHeteroatoms,False,0.036106,0.031111,0.125396,0.331974,True,413
out_of_scaffold,MLP,False,FractionCSP3,False,0.126592,0.084331,0.125396,0.331974,True,413
out_of_scaffold,MLP,False,NumHDonors,False,0.042935,0.021965,0.125396,0.331974,True,413
out_of_scaffold,MLP,False,NumHAcceptors,False,0.065707,0.049259,0.125396,0.331974,True,413
out_of_scaffold,GCN,False,MolWt,False,0.114813,0.097652,0.157976,0.307117,True,413
out_of_scaffold,GCN,False,MolLogP,False,0.257982,0.097400,0.157976,0.307117,True,413
out_of_scaffold,GCN,False,TPSA,False,0.138564,0.043930,0.157976,0.307117,True,413
out_of_scaffold,GCN,False,NumRotatableBonds,False,0.014660,0.044602,0.157976,0.307117,True,413
out_of_scaffold,GCN,False,AromaticAtomFraction,False,0.097465,0.055192,0.157976,0.307117,True,413
out_of_scaffold,GCN,False,HeavyAtomCount,False,0.023911,0.034845,0.157976,0.307117,True,413
out_of_scaffold,GCN,False,NumRings,False,-0.004091,0.004635,0.157976,0.307117,True,413
out_of_scaffold,GCN,False,NumAromaticRings,False,0.014807,0.023055,0.157976,0.307117,True,413
out_of_scaffold,GCN,False,NumAliphaticRings,False,0.043398,0.083046,0.157976,0.307117,True,413
out_of_scaffold,GCN,False,NumHeteroatoms,False,0.031173,0.041242,0.157976,0.307117,True,413
out_of_scaffold,GCN,False,FractionCSP3,False,0.065534,0.034280,0.157976,0.307117,True,413
out_of_scaffold,GCN,False,NumHDonors,False,0.001654,0.009403,0.157976,0.307117,True,413
out_of_scaffold,GCN,False,NumHAcceptors,False,0.017454,0.029680,0.157976,0.307117,True,413
out_of_scaffold,GIN,False,MolWt,False,0.112631,0.049764,0.082445,0.236536,True,413
