regime,model,property,property_bin,bin_index,molecules,property_median,actual_median,mean_absolute_error,baseline_mean_absolute_error,normalized_mean_absolute_error,mean_residual
out_of_scaffold,GCN,TPSA,"(-0.001, 40.46]",0,210,0.000000,-4.410000,1.029740,2.350940,0.438012,0.100995
out_of_scaffold,GCN,TPSA,"(40.46, 67.51]",1,101,55.240000,-3.893000,0.972086,1.474517,0.659257,0.381368
out_of_scaffold,GCN,TPSA,"(67.51, 268.68]",2,102,90.865000,-3.243000,0.770459,1.194865,0.644809,0.281324
out_of_scaffold,GIN,TPSA,"(-0.001, 40.46]",0,210,0.000000,-4.410000,0.921166,2.350940,0.391829,0.066162
out_of_scaffold,GIN,TPSA,"(40.46, 67.51]",1,101,55.240000,-3.893000,0.812264,1.474517,0.550868,0.151371
out_of_scaffold,GIN,TPSA,"(67.51, 268.68]",2,102,90.865000,-3.243000,0.771972,1.194865,0.646075,0.257349
in_domain,Dummy (mean),NumRotatableBonds,"(-0.001, 1.0]",0,240,0.000000,-2.535000,1.896417,1.896417,1.000000,-0.223623
in_domain,Dummy (mean),NumRotatableBonds,"(1.0, 3.0]",1,115,2.000000,-2.820000,1.348228,1.348228,1.000000,-0.344577
in_domain,Dummy (mean),NumRotatableBonds,"(3.0, 17.0]",2,115,5.000000,-3.785000,1.705701,1.705701,1.000000,0.780527
in_domain,Linear,NumRotatableBonds,"(-0.001, 1.0]",0,240,0.000000,-2.535000,0.805730,1.896417,0.424870,0.020146
in_domain,Linear,NumRotatableBonds,"(1.0, 3.0]",1,115,2.000000,-2.820000,0.632739,1.348228,0.469312,0.080700
in_domain,Linear,NumRotatableBonds,"(3.0, 17.0]",2,115,5.000000,-3.785000,0.803005,1.705701,0.470777,0.099471
in_domain,MLP,NumRotatableBonds,"(-0.001, 1.0]",0,240,0.000000,-2.535000,0.558142,1.896417,0.294314,0.023568
in_domain,MLP,NumRotatableBonds,"(1.0, 3.0]",1,115,2.000000,-2.820000,0.553756,1.348228,0.410729,0.138342
in_domain,MLP,NumRotatableBonds,"(3.0, 17.0]",2,115,5.000000,-3.785000,0.735816,1.705701,0.431386,0.058617
in_domain,GCN,NumRotatableBonds,"(-0.001, 1.0]",0,240,0.000000,-2.535000,0.599436,1.896417,0.316089,-0.140765
in_domain,GCN,NumRotatableBonds,"(1.0, 3.0]",1,115,2.000000,-2.820000,0.541382,1.348228,0.401551,0.111669
in_domain,GCN,NumRotatableBonds,"(3.0, 17.0]",2,115,5.000000,-3.785000,0.683399,1.705701,0.400656,0.330451
in_domain,GIN,NumRotatableBonds,"(-0.001, 1.0]",0,240,0.000000,-2.535000,0.489903,1.896417,0.258331,-0.023592
in_domain,GIN,NumRotatableBonds,"(1.0, 3.0]",1,115,2.000000,-2.820000,0.450468,1.348228,0.334118,0.036364
in_domain,GIN,NumRotatableBonds,"(3.0, 17.0]",2,115,5.000000,-3.785000,0.643362,1.705701,0.377184,0.104229
out_of_scaffold,Dummy (mean),NumRotatableBonds,"(-0.001, 1.0]",0,231,0.000000,-3.952000,2.065235,2.065235,1.000000,1.216693
out_of_scaffold,Dummy (mean),NumRotatableBonds,"(1.0, 3.0]",1,103,2.000000,-3.590000,1.359234,1.359234,1.000000,0.896333
out_of_scaffold,Dummy (mean),NumRotatableBonds,"(3.0, 10.0]",2,79,5.000000,-4.160000,1.866196,1.866196,1.000000,1.426099
out_of_scaffold,Linear,NumRotatableBonds,"(-0.001, 1.0]",0,231,0.000000,-3.952000,0.926334,2.065235,0.448537,0.390212
out_of_scaffold,Linear,NumRotatableBonds,"(1.0, 3.0]",1,103,2.000000,-3.590000,0.692445,1.359234,0.509438,0.115550
out_of_scaffold,Linear,NumRotatableBonds,"(3.0, 10.0]",2,79,5.000000,-4.160000,0.877221,1.866196,0.470058,0.160172
out_of_scaffold,MLP,NumRotatableBonds,"(-0.001, 1.0]",0,231,0.000000,-3.952000,0.654802,2.065235,0.317059,0.096086
out_of_scaffold,MLP,NumRotatableBonds,"(1.0, 3.0]",1,103,2.000000,-3.590000,0.570002,1.359234,0.419355,0.038772
out_of_scaffold,MLP,NumRotatableBonds,"(3.0, 10.0]",2,79,5.000000,-4.160000,0.871862,1.866196,0.467186,0.181695
out_of_scaffold,GCN,NumRotatableBonds,"(-0.001, 1.0]",0,231,0.000000,-3.952000,0.979409,2.065235,0.474236,0.061686
out_of_scaffold,GCN,NumRotatableBonds,"(1.0, 3.0]",1,103,2.000000,-3.590000,0.824417,1.359234,0.606531,0.179324
out_of_scaffold,GCN,NumRotatableBonds,"(3.0, 10.0]",2,79,5.000000,-4.160000,1.036132,1.866196,0.555210,0.705095
out_of_scaffold,GIN,NumRotatableBonds,"(-0.001, 1.0]",0,231,0.000000,-3.952000,0.882168,2.065235,0.427151,0.025175
out_of_scaffold,GIN,NumRotatableBonds,"(1.0, 3.0]",1,103,2.000000,-3.590000,0.737963,1.359234,0.542925,0.102897
out_of_scaffold,GIN,NumRotatableBonds,"(3.0, 10.0]",2,79,5.000000,-4.160000,0.942198,1.866196,0.504876,0.493900
in_domain,Dummy (mean),AromaticAtomFraction,"(-0.001, 0.333]",0,236,0.000000,-2.305000,1.703909,1.703909,1.000000,-0.601421
in_domain,Dummy (mean),AromaticAtomFraction,"(0.333, 0.667]",1,130,0.521739,-3.456500,1.493269,1.493269,1.000000,0.650498
in_domain,Dummy (mean),AromaticAtomFraction,"(0.667, 1.0]",2,104,0.833333,-3.255000,2.020138,2.020138,1.000000,0.517649
in_domain,Linear,AromaticAtomFraction,"(-0.001, 0.333]",0,236,0.000000,-2.305000,0.768935,1.703909,0.451277,0.035257
in_domain,Linear,AromaticAtomFraction,"(0.333, 0.667]",1,130,0.521739,-3.456500,0.619148,1.493269,0.414626,-0.001951
in_domain,Linear,AromaticAtomFraction,"(0.667, 1.0]",2,104,0.833333,-3.255000,0.928153,2.020138,0.459450,0.168152
in_domain,MLP,AromaticAtomFraction,"(-0.001, 0.333]",0,236,0.000000,-2.305000,0.589206,1.703909,0.345796,0.019635
in_domain,MLP,AromaticAtomFraction,"(0.333, 0.667]",1,130,0.521739,-3.456500,0.618051,1.493269,0.413891,0.096843
in_domain,MLP,AromaticAtomFraction,"(0.667, 1.0]",2,104,0.833333,-3.255000,0.604382,2.020138,0.299179,0.106567
in_domain,GCN,AromaticAtomFraction,"(-0.001, 0.333]",0,236,0.000000,-2.305000,0.594110,1.703909,0.348675,-0.038128
in_domain,GCN,AromaticAtomFraction,"(0.333, 0.667]",1,130,0.521739,-3.456500,0.661684,1.493269,0.443111,0.209910
in_domain,GCN,AromaticAtomFraction,"(0.667, 1.0]",2,104,0.833333,-3.255000,0.562362,2.020138,0.278378,-0.011827
in_domain,GIN,AromaticAtomFraction,"(-0.001, 0.333]",0,236,0.000000,-2.305000,0.454567,1.703909,0.266779,-0.042007
in_domain,GIN,AromaticAtomFraction,"(0.333, 0.667]",1,130,0.521739,-3.456500,0.569201,1.493269,0.381178,0.116607
in_domain,GIN,AromaticAtomFraction,"(0.667, 1.0]",2,104,0.833333,-3.255000,0.597050,2.020138,0.295549,0.050583
out_of_scaffold,Dummy (mean),AromaticAtomFraction,"(-0.001, 0.2]",0,104,0.000000,-3.440000,1.613345,1.613345,1.000000,0.394659
out_of_scaffold,Dummy (mean),AromaticAtomFraction,"(0.2, 0.545]",1,108,0.400000,-3.662500,1.539734,1.539734,1.000000,1.111251
out_of_scaffold,Dummy (mean),AromaticAtomFraction,"(0.545, 0.75]",2,98,0.666667,-4.102000,2.236430,2.236430,1.000000,1.839091
out_of_scaffold,Dummy (mean),AromaticAtomFraction,"(0.75, 1.0]",3,103,0.909091,-4.290000,2.050976,2.050976,1.000000,1.405336
out_of_scaffold,Linear,AromaticAtomFraction,"(-0.001, 0.2]",0,104,0.000000,-3.440000,0.983326,1.613345,0.609495,0.263773
out_of_scaffold,Linear,AromaticAtomFraction,"(0.2, 0.545]",1,108,0.400000,-3.662500,0.759276,1.539734,0.493122,0.293776
out_of_scaffold,Linear,AromaticAtomFraction,"(0.545, 0.75]",2,98,0.666667,-4.102000,0.695205,2.236430,0.310855,0.043256
out_of_scaffold,Linear,AromaticAtomFraction,"(0.75, 1.0]",3,103,0.909091,-4.290000,0.992308,2.050976,0.483823,0.498009
out_of_scaffold,MLP,AromaticAtomFraction,"(-0.001, 0.2]",0,104,0.000000,-3.440000,0.689573,1.613345,0.427418,0.126380
out_of_scaffold,MLP,AromaticAtomFraction,"(0.2, 0.545]",1,108,0.400000,-3.662500,0.702028,1.539734,0.455941,0.351659
out_of_scaffold,MLP,AromaticAtomFraction,"(0.545, 0.75]",2,98,0.666667,-4.102000,0.704271,2.236430,0.314908,-0.217455
out_of_scaffold,MLP,AromaticAtomFraction,"(0.75, 1.0]",3,103,0.909091,-4.290000,0.604791,2.050976,0.294880,0.104186
out_of_scaffold,GCN,AromaticAtomFraction,"(-0.001, 0.2]",0,104,0.000000,-3.440000,0.882104,1.613345,0.546755,0.096175
out_of_scaffold,GCN,AromaticAtomFraction,"(0.2, 0.545]",1,108,0.400000,-3.662500,0.936728,1.539734,0.608370,0.356020
out_of_scaffold,GCN,AromaticAtomFraction,"(0.545, 0.75]",2,98,0.666667,-4.102000,1.065193,2.236430,0.476292,0.511165
out_of_scaffold,GCN,AromaticAtomFraction,"(0.75, 1.0]",3,103,0.909091,-4.290000,0.929305,2.050976,0.453104,-0.098295
out_of_scaffold,GIN,AromaticAtomFraction,"(-0.001, 0.2]",0,104,0.000000,-3.440000,0.805506,1.613345,0.499277,0.045699
out_of_scaffold,GIN,AromaticAtomFraction,"(0.2, 0.545]",1,108,0.400000,-3.662500,0.836610,1.539734,0.543347,0.181372
out_of_scaffold,GIN,AromaticAtomFraction,"(0.545, 0.75]",2,98,0.666667,-4.102000,0.979703,2.236430,0.438065,0.402481
out_of_scaffold,GIN,AromaticAtomFraction,"(0.75, 1.0]",3,103,0.909091,-4.290000,0.816381,2.050976,0.398045,-0.081087
in_domain,Dummy (mean),HeavyAtomCount,"(0.999, 8.0]",0,154,7.000000,-1.300000,1.843106,1.843106,1.000000,-1.513049
in_domain,Dummy (mean),HeavyAtomCount,"(8.0, 12.0]",1,99,11.000000,-2.380000,1.340506,1.340506,1.000000,-0.541709
in_domain,Dummy (mean),HeavyAtomCount,"(12.0, 18.0]",2,110,15.000000,-3.481500,1.557170,1.557170,1.000000,0.832602
in_domain,Dummy (mean),HeavyAtomCount,"(18.0, 55.0]",3,107,22.000000,-4.571000,2.042100,2.042100,1.000000,1.789882
in_domain,Linear,HeavyAtomCount,"(0.999, 8.0]",0,154,7.000000,-1.300000,0.778533,1.843106,0.422403,-0.136912
in_domain,Linear,HeavyAtomCount,"(8.0, 12.0]",1,99,11.000000,-2.380000,0.732491,1.340506,0.546429,0.099852
in_domain,Linear,HeavyAtomCount,"(12.0, 18.0]",2,110,15.000000,-3.481500,0.735967,1.557170,0.472631,0.341143
in_domain,Linear,HeavyAtomCount,"(18.0, 55.0]",3,107,22.000000,-4.571000,0.795501,2.042100,0.389551,-0.007214
in_domain,MLP,HeavyAtomCount,"(0.999, 8.0]",0,154,7.000000,-1.300000,0.477177,1.843106,0.258898,0.011254
in_domain,MLP,HeavyAtomCount,"(8.0, 12.0]",1,99,11.000000,-2.380000,0.553499,1.340506,0.412903,0.022591
in_domain,MLP,HeavyAtomCount,"(12.0, 18.0]",2,110,15.000000,-3.481500,0.659293,1.557170,0.423392,0.227476
in_domain,MLP,HeavyAtomCount,"(18.0, 55.0]",3,107,22.000000,-4.571000,0.761223,2.042100,0.372765,-0.006407
in_domain,GCN,HeavyAtomCount,"(0.999, 8.0]",0,154,7.000000,-1.300000,0.538395,1.843106,0.292113,-0.231201
in_domain,GCN,HeavyAtomCount,"(8.0, 12.0]",1,99,11.000000,-2.380000,0.468153,1.340506,0.349236,-0.097445
in_domain,GCN,HeavyAtomCount,"(12.0, 18.0]",2,110,15.000000,-3.481500,0.579633,1.557170,0.372235,0.113575
in_domain,GCN,HeavyAtomCount,"(18.0, 55.0]",3,107,22.000000,-4.571000,0.856961,2.042100,0.419647,0.465597
in_domain,GIN,HeavyAtomCount,"(0.999, 8.0]",0,154,7.000000,-1.300000,0.376096,1.843106,0.204056,-0.118449
in_domain,GIN,HeavyAtomCount,"(8.0, 12.0]",1,99,11.000000,-2.380000,0.431790,1.340506,0.322110,-0.057505
in_domain,GIN,HeavyAtomCount,"(12.0, 18.0]",2,110,15.000000,-3.481500,0.622016,1.557170,0.399453,-0.012803
in_domain,GIN,HeavyAtomCount,"(18.0, 55.0]",3,107,22.000000,-4.571000,0.694199,2.042100,0.339944,0.335033
out_of_scaffold,Dummy (mean),HeavyAtomCount,"(3.999, 13.0]",0,114,11.000000,-2.535000,1.348001,1.348001,1.000000,-0.196501
out_of_scaffold,Dummy (mean),HeavyAtomCount,"(13.0, 17.0]",1,108,16.000000,-3.532000,1.706608,1.706608,1.000000,1.167965
out_of_scaffold,Dummy (mean),HeavyAtomCount,"(17.0, 21.0]",2,90,19.000000,-4.594000,2.348570,2.348570,1.000000,2.121274
out_of_scaffold,Dummy (mean),HeavyAtomCount,"(21.0, 55.0]",3,101,25.000000,-4.530000,2.130126,2.130126,1.000000,1.894915
out_of_scaffold,Linear,HeavyAtomCount,"(3.999, 13.0]",0,114,11.000000,-2.535000,1.002678,1.348001,0.743826,0.444688
out_of_scaffold,Linear,HeavyAtomCount,"(13.0, 17.0]",1,108,16.000000,-3.532000,0.840659,1.706608,0.492590,0.441899
out_of_scaffold,Linear,HeavyAtomCount,"(17.0, 21.0]",2,90,19.000000,-4.594000,0.698014,2.348570,0.297208,0.315019
out_of_scaffold,Linear,HeavyAtomCount,"(21.0, 55.0]",3,101,25.000000,-4.530000,0.858296,2.130126,0.402932,-0.119575
out_of_scaffold,MLP,HeavyAtomCount,"(3.999, 13.0]",0,114,11.000000,-2.535000,0.648109,1.348001,0.480793,0.260018
