regime,model,scaffold,molecules,dataset_molecules,mean_absolute_error,baseline_mean_absolute_error,normalized_mean_absolute_error,mean_residual
in_domain,MLP,O=C1C=C2CCC3C4CCCC4CCC3C2CC1,8,17.000000,0.438600,1.266644,0.346269,-0.087937
in_domain,MLP,c1ccncc1,6,14.000000,1.092767,3.285800,0.332572,-0.945133
in_domain,MLP,c1ccc2ccccc2c1,10,22.000000,0.351105,1.055905,0.332516,0.169345
in_domain,MLP,c1ccc2cc3ccccc3cc2c1,3,6.000000,0.944900,2.951589,0.320133,0.944900
in_domain,MLP,,140,317.000000,0.515049,1.851878,0.278123,0.023447
in_domain,MLP,O=C(OCc1cccc(Oc2ccccc2)c1)C1CC1,4,7.000000,1.151262,4.671163,0.246462,1.151262
in_domain,MLP,C1CCOCC1,3,3.000000,0.787467,3.415217,0.230576,-0.787467
in_domain,MLP,c1ccc(Cc2ccccc2)cc1,3,12.000000,0.487567,2.563817,0.190172,-0.271700
in_domain,MLP,c1ccoc1,3,3.000000,0.348917,2.020067,0.172725,0.000217
in_domain,MLP,c1cnc2ncncc2n1,3,9.000000,0.343433,2.144500,0.160146,-0.343433
in_domain,MLP,c1ccc(-c2ccccc2)cc1,12,39.000000,0.424683,3.655479,0.116177,-0.193217
in_domain,MLP,O=c1nccc[nH]1,3,3.000000,0.152200,1.863600,0.081670,-0.134800
in_domain,GCN,c1ncncn1,6,16.000000,0.565125,0.617075,0.915813,0.482225
in_domain,GCN,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,6,8.000000,1.260417,2.039975,0.617859,1.260417
in_domain,GCN,O=c1[nH]c(=O)c2[nH]cnc2[nH]1,3,4.000000,1.072078,1.862933,0.575478,-0.677722
in_domain,GCN,O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21,6,9.000000,0.423244,0.791300,0.534872,-0.008211
in_domain,GCN,c1ccoc1,3,3.000000,0.950267,2.020067,0.470414,0.229567
in_domain,GCN,O=C1C=C2CCC3C4CCCC4CCC3C2CC1,8,17.000000,0.595650,1.266644,0.470259,0.280712
in_domain,GCN,c1ccccc1,102,254.000000,0.489539,1.151362,0.425183,-0.085109
in_domain,GCN,c1ccc2ccccc2c1,10,22.000000,0.446175,1.055905,0.422552,-0.359955
in_domain,GCN,C1CCCC1,3,4.000000,0.643067,1.658533,0.387732,0.229200
in_domain,GCN,O=C(OCc1cccc(Oc2ccccc2)c1)C1CC1,4,7.000000,1.790212,4.671163,0.383248,1.790212
in_domain,GCN,c1ccc(Cc2ccccc2)cc1,3,12.000000,0.979817,2.563817,0.382171,0.921217
in_domain,GCN,O=C1CC(=O)NC(=O)N1,9,21.000000,0.302672,0.924806,0.327282,0.059972
in_domain,GCN,O=C1C=CCCC1,3,3.000000,0.567233,1.735333,0.326873,-0.567233
in_domain,GCN,c1ccncc1,6,14.000000,1.007092,3.285800,0.306498,-0.973225
in_domain,GCN,,140,317.000000,0.525875,1.851878,0.283968,-0.137800
in_domain,GCN,C1CCCCC1,5,10.000000,0.327020,1.190220,0.274756,0.073900
in_domain,GCN,O=c1nccc[nH]1,3,3.000000,0.371200,1.863600,0.199184,-0.069133
in_domain,GCN,c1ccc(-c2ccccc2)cc1,12,39.000000,0.583617,3.655479,0.159655,0.374317
in_domain,GCN,c1cnc2ncncc2n1,3,9.000000,0.290233,2.144500,0.135338,-0.290233
in_domain,GCN,C1CCOCC1,3,3.000000,0.443333,3.415217,0.129811,0.133467
in_domain,GCN,c1ccc2cc3ccccc3cc2c1,3,6.000000,0.319644,2.951589,0.108296,0.319644
in_domain,GIN,c1ncncn1,6,16.000000,0.866475,0.617075,1.404165,0.669575
in_domain,GIN,O=c1[nH]c(=O)c2[nH]cnc2[nH]1,3,4.000000,1.337978,1.862933,0.718210,0.057644
in_domain,GIN,O=C1C=CCCC1,3,3.000000,0.780800,1.735333,0.449942,-0.780800
in_domain,GIN,O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21,6,9.000000,0.350153,0.791300,0.442503,0.201153
in_domain,GIN,c1ccc2ccccc2c1,10,22.000000,0.462990,1.055905,0.438477,-0.197310
in_domain,GIN,c1ccccc1,102,254.000000,0.502693,1.151362,0.436608,-0.137620
in_domain,GIN,c1ccoc1,3,3.000000,0.873817,2.020067,0.432568,0.256517
in_domain,GIN,O=C1C=C2CCC3C4CCCC4CCC3C2CC1,8,17.000000,0.463962,1.266644,0.366293,0.277750
in_domain,GIN,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,6,8.000000,0.734850,2.039975,0.360225,0.734850
in_domain,GIN,c1ccc2cc3ccccc3cc2c1,3,6.000000,0.966989,2.951589,0.327616,0.966989
in_domain,GIN,O=c1nccc[nH]1,3,3.000000,0.546467,1.863600,0.293232,0.264200
in_domain,GIN,O=C1CC(=O)NC(=O)N1,9,21.000000,0.245594,0.924806,0.265563,-0.025461
in_domain,GIN,O=C(OCc1cccc(Oc2ccccc2)c1)C1CC1,4,7.000000,1.175288,4.671163,0.251605,1.175287
in_domain,GIN,c1ccc(Cc2ccccc2)cc1,3,12.000000,0.635183,2.563817,0.247749,-0.194517
in_domain,GIN,c1ccncc1,6,14.000000,0.784192,3.285800,0.238661,-0.732875
in_domain,GIN,,140,317.000000,0.357631,1.851878,0.193118,-0.106344
in_domain,GIN,c1cnc2ncncc2n1,3,9.000000,0.401567,2.144500,0.187254,-0.376900
in_domain,GIN,C1CCCC1,3,4.000000,0.302850,1.658533,0.182601,0.138517
in_domain,GIN,C1CCCCC1,5,10.000000,0.204500,1.190220,0.171817,0.148060
in_domain,GIN,c1ccc(-c2ccccc2)cc1,12,39.000000,0.503138,3.655479,0.137639,0.042796
in_domain,GIN,C1CCOCC1,3,3.000000,0.225517,3.415217,0.066033,0.021583
out_of_scaffold,Dummy (mean),c1cncnc1,5,5.000000,1.526520,1.526520,1.000000,-0.744600
out_of_scaffold,Dummy (mean),O=C1C=CCCC1,3,3.000000,1.584767,1.584767,1.000000,-1.584767
out_of_scaffold,Dummy (mean),O=C1NC(=O)c2ccccc21,4,4.000000,1.886667,1.886667,1.000000,1.723333
out_of_scaffold,Dummy (mean),c1ccc(CCc2ccccc2)cc1,3,3.000000,1.399133,1.399133,1.000000,0.737400
out_of_scaffold,Dummy (mean),c1ccc2c(c1)ccc1ccccc12,3,3.000000,2.755633,2.755633,1.000000,2.755633
out_of_scaffold,Dummy (mean),C1CCCCCCC1,3,3.000000,1.192889,1.192889,1.000000,-0.384000
out_of_scaffold,Dummy (mean),O=c1cc[nH]n1-c1ccccc1,3,3.000000,2.831600,2.831600,1.000000,-2.831600
out_of_scaffold,Dummy (mean),C1=CC2C3C=CC(C3)C2C1,3,3.000000,2.883067,2.883067,1.000000,2.883067
out_of_scaffold,Dummy (mean),c1ccc2ccccc2c1,22,22.000000,1.175064,1.175064,1.000000,0.973218
out_of_scaffold,Dummy (mean),O=c1[nH]c(=O)c2[nH]cnc2[nH]1,4,4.000000,1.767250,1.767250,1.000000,-1.767250
out_of_scaffold,Dummy (mean),c1ncncn1,16,16.000000,0.794854,0.794854,1.000000,0.608662
out_of_scaffold,Dummy (mean),O=C1NC(=O)C(c2ccccc2)C(=O)N1,3,3.000000,0.669333,0.669333,1.000000,-0.669333
out_of_scaffold,Dummy (mean),C1=CCCCC1,3,3.000000,0.644333,0.644333,1.000000,0.366333
out_of_scaffold,Dummy (mean),O=C1Nc2cccnc2Nc2ncccc21,6,6.000000,0.790167,0.790167,1.000000,0.612167
out_of_scaffold,Dummy (mean),C1CCOC1,3,3.000000,3.420333,3.420333,1.000000,-3.420333
out_of_scaffold,Dummy (mean),O=c1cccnn1-c1ccccc1,3,3.000000,0.621633,0.621633,1.000000,0.621633
out_of_scaffold,Dummy (mean),c1ccc2ncccc2c1,5,5.000000,0.721650,0.721650,1.000000,-0.721650
out_of_scaffold,Dummy (mean),O=C1C=C2CCC3C4CCCC4CCC3C2CC1,17,17.000000,1.527308,1.527308,1.000000,1.527308
out_of_scaffold,Dummy (mean),c1ccc2cc3ccccc3cc2c1,6,6.000000,3.216300,3.216300,1.000000,3.216300
out_of_scaffold,Dummy (mean),O=C(OCc1cccc(Oc2ccccc2)c1)C1CC1,7,7.000000,4.287564,4.287564,1.000000,4.287564
out_of_scaffold,Dummy (mean),c1ccc2c(c1)CCO2,3,3.000000,0.914633,0.914633,1.000000,0.914633
out_of_scaffold,Dummy (mean),c1ccc2scnc2c1,3,3.000000,0.877133,0.877133,1.000000,-0.028600
out_of_scaffold,Dummy (mean),C1CCCCC1,10,10.000000,1.395560,1.395560,1.000000,0.204400
out_of_scaffold,Dummy (mean),c1ccc(Cc2ccccc2)cc1,12,12.000000,2.496083,2.496083,1.000000,2.444650
out_of_scaffold,Dummy (mean),O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21,9,9.000000,1.416844,1.416844,1.000000,1.416844
out_of_scaffold,Dummy (mean),c1ccc(Oc2ccccc2)cc1,6,6.000000,1.769400,1.769400,1.000000,1.769400
out_of_scaffold,Dummy (mean),O=C1CN=C(c2ccccc2)c2ccccc2N1,6,6.000000,0.897900,0.897900,1.000000,0.897900
out_of_scaffold,Dummy (mean),c1ccoc1,3,3.000000,1.798933,1.798933,1.000000,-1.798933
out_of_scaffold,Dummy (mean),c1ccc(-c2ccccc2)cc1,39,39.000000,4.152733,4.152733,1.000000,4.150005
out_of_scaffold,Dummy (mean),C1CCCC1,4,4.000000,1.493400,1.493400,1.000000,1.436800
out_of_scaffold,Linear,C1=CCCCC1,3,3.000000,0.917833,0.644333,1.424470,0.917833
out_of_scaffold,Linear,c1ncncn1,16,16.000000,1.031165,0.794854,1.297300,1.031165
out_of_scaffold,Linear,C1CCCC1,4,4.000000,1.701150,1.493400,1.139112,1.701150
out_of_scaffold,Linear,c1ccc2scnc2c1,3,3.000000,0.866000,0.877133,0.987307,0.203400
out_of_scaffold,Linear,O=c1[nH]c(=O)c2[nH]cnc2[nH]1,4,4.000000,1.439325,1.767250,0.814443,1.439325
out_of_scaffold,Linear,C1CCCCC1,10,10.000000,1.114350,1.395560,0.798497,0.802670
out_of_scaffold,Linear,O=C1C=CCCC1,3,3.000000,1.263828,1.584767,0.797485,-1.263828
out_of_scaffold,Linear,O=C1NC(=O)C(c2ccccc2)C(=O)N1,3,3.000000,0.519900,0.669333,0.776743,0.519900
out_of_scaffold,Linear,c1ccc(CCc2ccccc2)cc1,3,3.000000,1.071567,1.399133,0.765879,-0.448633
out_of_scaffold,Linear,C1CCCCCCC1,3,3.000000,0.898600,1.192889,0.753297,-0.140244
out_of_scaffold,Linear,c1ccc2ncccc2c1,5,5.000000,0.535620,0.721650,0.742216,-0.460420
out_of_scaffold,Linear,O=c1cc[nH]n1-c1ccccc1,3,3.000000,1.944267,2.831600,0.686632,-1.944267
out_of_scaffold,Linear,O=C1Nc2cccnc2Nc2ncccc21,6,6.000000,0.504800,0.790167,0.638853,-0.098400
out_of_scaffold,Linear,c1cncnc1,5,5.000000,0.865220,1.526520,0.566792,-0.391540
out_of_scaffold,Linear,O=C1NC(=O)c2ccccc21,4,4.000000,1.053654,1.886667,0.558474,0.951562
out_of_scaffold,Linear,c1ccc2cc3ccccc3cc2c1,6,6.000000,1.656983,3.216300,0.515183,1.656983
out_of_scaffold,Linear,c1ccc2ccccc2c1,22,22.000000,0.594500,1.175064,0.505930,0.339814
out_of_scaffold,Linear,O=C1C=C2CCC3C4CCCC4CCC3C2CC1,17,17.000000,0.713753,1.527308,0.467327,-0.400639
out_of_scaffold,Linear,O=C1CN=C(c2ccccc2)c2ccccc2N1,6,6.000000,0.417050,0.897900,0.464473,-0.263717
out_of_scaffold,Linear,c1ccc2c(c1)ccc1ccccc12,3,3.000000,1.180422,2.755633,0.428367,1.180422
out_of_scaffold,Linear,O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21,9,9.000000,0.586944,1.416844,0.414262,0.231522
out_of_scaffold,Linear,c1ccc2c(c1)CCO2,3,3.000000,0.378267,0.914633,0.413572,-0.246400
out_of_scaffold,Linear,O=c1cccnn1-c1ccccc1,3,3.000000,0.231333,0.621633,0.372138,0.231333
out_of_scaffold,Linear,C1CCOC1,3,3.000000,1.221267,3.420333,0.357061,-0.310267
out_of_scaffold,Linear,c1ccoc1,3,3.000000,0.605100,1.798933,0.336366,-0.466033
out_of_scaffold,Linear,c1ccc(Oc2ccccc2)cc1,6,6.000000,0.455483,1.769400,0.257422,-0.291883
out_of_scaffold,Linear,c1ccc(Cc2ccccc2)cc1,12,12.000000,0.618575,2.496083,0.247818,-0.034742
out_of_scaffold,Linear,c1ccc(-c2ccccc2)cc1,39,39.000000,0.557369,4.152733,0.134217,0.397769
out_of_scaffold,Linear,O=C(OCc1cccc(Oc2ccccc2)c1)C1CC1,7,7.000000,0.560364,4.287564,0.130695,-0.261293
out_of_scaffold,Linear,C1=CC2C3C=CC(C3)C2C1,3,3.000000,0.311233,2.883067,0.107952,0.301833
out_of_scaffold,MLP,c1ncncn1,16,16.000000,1.274835,0.794854,1.603861,1.274835
out_of_scaffold,MLP,c1ccc2ncccc2c1,5,5.000000,0.728810,0.721650,1.009922,0.110690
out_of_scaffold,MLP,c1ccc2scnc2c1,3,3.000000,0.639833,0.877133,0.729460,0.341100
out_of_scaffold,MLP,C1CCCC1,4,4.000000,1.083250,1.493400,0.725358,1.083250
out_of_scaffold,MLP,O=C1NC(=O)c2ccccc21,4,4.000000,1.338133,1.886667,0.709258,1.311317
out_of_scaffold,MLP,O=c1cc[nH]n1-c1ccccc1,3,3.000000,1.793493,2.831600,0.633385,-1.793493
out_of_scaffold,MLP,O=C1C=CCCC1,3,3.000000,0.953572,1.584767,0.601711,-0.953572
out_of_scaffold,MLP,C1CCCCC1,10,10.000000,0.727630,1.395560,0.521389,0.546810
out_of_scaffold,MLP,O=C1NC(=O)C(c2ccccc2)C(=O)N1,3,3.000000,0.345067,0.669333,0.515538,0.345067
out_of_scaffold,MLP,O=C1Nc2cccnc2Nc2ncccc21,6,6.000000,0.390300,0.790167,0.493946,0.102467
