regime,model,property,molecules,spearman,ci_low,ci_high,excludes_zero,baseline_spearman,partial_spearman,trained_on
out_of_scaffold,GCN,MolLogP,413,0.207168,0.107421,0.308011,True,0.601696,0.108370,True
out_of_scaffold,GCN,TPSA,413,-0.145352,-0.239782,-0.047900,True,-0.378165,-0.126931,True
out_of_scaffold,GCN,NumRotatableBonds,413,0.030047,-0.067197,0.125729,False,-0.035081,-0.016220,True
out_of_scaffold,GCN,AromaticAtomFraction,413,0.060263,-0.034393,0.157872,False,0.139215,0.058210,True
out_of_scaffold,GCN,HeavyAtomCount,413,0.013629,-0.078980,0.110927,False,0.188022,-0.066597,False
out_of_scaffold,GCN,NumRings,413,-0.052912,-0.144141,0.048257,False,0.140306,-0.073113,False
out_of_scaffold,GCN,NumAromaticRings,413,0.060548,-0.039920,0.162735,False,0.199525,0.026007,False
out_of_scaffold,GCN,NumAliphaticRings,413,-0.119394,-0.220070,-0.020373,True,-0.130861,-0.089457,False
out_of_scaffold,GCN,NumHeteroatoms,413,0.062324,-0.032692,0.157687,False,-0.027843,-0.016962,False
out_of_scaffold,GCN,FractionCSP3,413,-0.091569,-0.194544,0.003359,False,-0.172314,-0.078660,False
out_of_scaffold,GCN,NumHDonors,413,-0.175440,-0.265793,-0.078893,True,-0.375379,-0.113658,False
out_of_scaffold,GCN,NumHAcceptors,413,-0.097964,-0.193976,0.000218,False,-0.339499,-0.096610,False
out_of_scaffold,GIN,MolWt,413,0.063984,-0.037716,0.161653,False,0.291389,-0.020138,True
out_of_scaffold,GIN,MolLogP,413,0.103166,0.007685,0.200276,True,0.601696,0.072918,True
out_of_scaffold,GIN,TPSA,413,-0.082283,-0.176245,0.013943,False,-0.378165,-0.112409,True
out_of_scaffold,GIN,NumRotatableBonds,413,0.004657,-0.091060,0.093926,False,-0.035081,-0.053318,True
out_of_scaffold,GIN,AromaticAtomFraction,413,0.036725,-0.061217,0.135092,False,0.139215,0.053439,True
out_of_scaffold,GIN,HeavyAtomCount,413,0.005058,-0.093028,0.096048,False,0.188022,-0.050380,False
out_of_scaffold,GIN,NumRings,413,-0.050522,-0.148083,0.045276,False,0.140306,-0.047087,False
out_of_scaffold,GIN,NumAromaticRings,413,0.036387,-0.062957,0.134043,False,0.199525,0.028459,False
out_of_scaffold,GIN,NumAliphaticRings,413,-0.072208,-0.173647,0.025560,False,-0.130861,-0.054736,False
out_of_scaffold,GIN,NumHeteroatoms,413,0.067759,-0.031930,0.157599,False,-0.027843,-0.022935,False
out_of_scaffold,GIN,FractionCSP3,413,-0.039784,-0.141210,0.055890,False,-0.172314,-0.047166,False
out_of_scaffold,GIN,NumHDonors,413,-0.073970,-0.172399,0.022232,False,-0.375379,-0.051891,False
out_of_scaffold,GIN,NumHAcceptors,413,-0.048146,-0.143401,0.044136,False,-0.339499,-0.094159,False
